,Movie name,Rating,Genres,Release_date,Runtime,Director,Url
77,Avatar (2009),75.0,"Action,Adventure,Fantasy,Science Fiction",08/27/2010,              2h 42m          ,James Cameron,https://www.themoviedb.org/movie/19995-avatar
78,Looop Lapeta (2022),63.0,"Action,Comedy,Crime",02/04/2022,              2h 11m          ,Aakash Bhatia,https://www.themoviedb.org/movie/783461
79,Nightmare Alley (2021),70.0,"Crime,Drama,Thriller",12/03/2021,              2h 30m          ,Guillermo del Toro,https://www.themoviedb.org/movie/597208-nightmare-alley
80,Free Guy (2021),77.0,"Comedy,Action,Adventure,Science Fiction",09/17/2021,              1h 55m          ,Shawn Levy,https://www.themoviedb.org/movie/550988-free-guy
81,The Simpsons in Plusaversary (2021),66.0,"Animation,Comedy,Fantasy",11/12/2021,              4m          ,David Silverman,https://www.themoviedb.org/movie/877183-the-simpsons-in-plusaversary
82,Mortal Kombat (2021),72.0,"Action,Fantasy,Adventure",04/23/2021,              1h 50m          ,Simon McQuoid,https://www.themoviedb.org/movie/460465-mortal-kombat
83,Through My Window (2022),76.0,"Romance,Drama",02/04/2022,              1h 52m          ,Marçal Forés,https://www.themoviedb.org/movie/818647-a-traves-de-mi-ventana
84,Avengers: Infinity War (2018),83.0,"Adventure,Action,Science Fiction",04/27/2018,              2h 29m          ,"Anthony Russo , Joe Russo",https://www.themoviedb.org/movie/299536-avengers-infinity-war
85,The Lost City (2022),69.0,"Adventure,Comedy,Romance",03/25/2022,              1h 52m          ,"Adam Nee , Aaron Nee",https://www.themoviedb.org/movie/752623-the-lost-city
86,Run Gun (2022),51.0,"Action,Thriller",01/11/2022,              1h 36m          ,Christopher Borrelli,https://www.themoviedb.org/movie/910596-run-gun
87,Jujutsu Kaisen 0 (2021),77.0,"Animation,Action,Adventure,Mystery",12/24/2021,              1h 45m          ,Sunghoo Park,https://www.themoviedb.org/movie/810693-0
88,Cruella (2021),82.0,"Comedy,Crime,Adventure",05/28/2021,              2h 14m          ,Craig Gillespie,https://www.themoviedb.org/movie/337404-cruella
89,Queen of Spades (2021),63.0,Horror,08/19/2021,              1h 31m          ,Patrick White,https://www.themoviedb.org/movie/829358-queen-of-spades
90,American Siege (2022),59.0,"Action,Thriller,Crime,Drama",03/31/2022,              1h 30m          ,Edward Drake,https://www.themoviedb.org/movie/766907-american-siege
91,Luca (2021),79.0,"Animation,Comedy,Family,Fantasy,Adventure",06/17/2021,              1h 35m          ,Enrico Casarosa,https://www.themoviedb.org/movie/508943-luca
92,F9 (2021),73.0,"Action,Crime,Thriller,Adventure",06/25/2021,              2h 23m          ,Justin Lin,https://www.themoviedb.org/movie/385128-f9
93,The Hunting (2022),49.0,Horror,01/21/2022,              1h 31m          ,Mark Andrew Hamer,https://www.themoviedb.org/movie/870671-the-hunting
94,Ron's Gone Wrong (2021),81.0,"Animation,Science Fiction,Family,Comedy",10/22/2021,              1h 47m          ,"Sarah Smith , Jean-Philippe Vine",https://www.themoviedb.org/movie/482321-ron-s-gone-wrong
95,Chernobyl: Abyss (2021),61.0,"Drama,History,Adventure",04/15/2021,              2h 16m          ,Danila Kozlovsky,https://www.themoviedb.org/movie/589761
96,Mobile Suit Gundam Hathaway (2021),76.0,"Animation,Action,Drama,Science Fiction",06/11/2021,              1h 36m          ,Shuko Murase,https://www.themoviedb.org/movie/685274
97,After We Fell (2021),71.0,"Romance,Drama",09/30/2021,              1h 39m          ,Castille Landon,https://www.themoviedb.org/movie/744275-after-we-fell
98,Deep Water (2022),56.0,"Drama,Mystery,Thriller",03/18/2022,              1h 56m          ,Adrian Lyne,https://www.themoviedb.org/movie/619979-deep-water
99,Curious George: Cape Ahoy (2021),24.0,"Animation,Adventure,Comedy",09/30/2021,              1h 28m          ,Doug Murphy,https://www.themoviedb.org/movie/918832-curious-george-cape-ahoy
100,The 355 (2022),60.0,"Action,Thriller",01/07/2022,              2h 2m          ,Simon Kinberg,https://www.themoviedb.org/movie/522016-the-355
101,Death on the Nile (2022),65.0,"Crime,Drama,Mystery,Thriller",02/11/2022,              2h 7m          ,Kenneth Branagh,https://www.themoviedb.org/movie/505026-death-on-the-nile
102,Diary of a Wimpy Kid (2021),64.0,"Animation,Comedy,Family",12/03/2021,              58m          ,Swinton O. Scott III,https://www.themoviedb.org/movie/774741-diary-of-a-wimpy-kid
103,Sex Appeal (2022),67.0,"Comedy,Romance",01/14/2022,              1h 30m          ,Talia Osteen,https://www.themoviedb.org/movie/803104-sex-appeal
104,Dune (2021),79.0,"Science Fiction,Adventure",10/22/2021,              2h 35m          ,Denis Villeneuve,https://www.themoviedb.org/movie/438631-dune
105,The Last Warrior: Root of Evil (2021),72.0,"Fantasy,Adventure,Comedy",01/01/2021,              2h          ,Dmitriy Dyachenko,https://www.themoviedb.org/movie/589754
106,One Shot (2021),68.0,Action,01/21/2022,              1h 37m          ,James Nunn,https://www.themoviedb.org/movie/811592-one-shot
107,Space Jam: A New Legacy (2021),71.0,"Family,Animation,Comedy,Science Fiction",07/16/2021,              1h 55m          ,Malcolm D. Lee,https://www.themoviedb.org/movie/379686-space-jam-a-new-legacy
108,Pursuit (2022),56.0,"Action,Crime,Thriller",02/18/2022,              1h 32m          ,Brian Skiba,https://www.themoviedb.org/movie/871799-pursuit
109,The Mystery of Marilyn Monroe: The Unheard Tapes (2022),63.0,Documentary,04/27/2022,              1h 41m          ,Emma Cooper,https://www.themoviedb.org/movie/953300-the-mystery-of-marilyn-monroe-the-unheard-tapes
110,Jungle Cruise (2021),76.0,"Action,Adventure,Fantasy",09/24/2021,              2h 7m          ,Jaume Collet-Serra,https://www.themoviedb.org/movie/451048-jungle-cruise
111,Two (2021),54.0,"Thriller,Horror",07/23/2021,              1h 11m          ,"Mike Hostench , Mar Targarona",https://www.themoviedb.org/movie/811072-dos
112,Black Widow (2021),75.0,"Action,Adventure,Science Fiction",07/09/2021,              2h 14m          ,Cate Shortland,https://www.themoviedb.org/movie/497698-black-widow
113,Antlers (2021),64.0,"Drama,Horror,Mystery",10/29/2021,              1h 39m          ,Scott Cooper,https://www.themoviedb.org/movie/516329-antlers
114,Zack Snyder's Justice League (2021),83.0,"Action,Adventure,Fantasy,Science Fiction",03/18/2021,              4h 2m          ,Zack Snyder,https://www.themoviedb.org/movie/791373-zack-snyder-s-justice-league
115,The Weekend Away (2022),59.0,"Thriller,Mystery",03/03/2022,              1h 31m          ,Kim Farrant,https://www.themoviedb.org/movie/840882-the-weekend-away
116,Deathstroke: Knights & Dragons - The Movie (2020),69.0,"Animation,Action,Adventure,Science Fiction",08/04/2020,              1h 27m          ,Sung Jin Ahn,https://www.themoviedb.org/movie/703771-deathstroke-knights-dragons-the-movie
117,Dancing on Glass (2022),58.0,Drama,04/08/2022,              2h 17m          ,Jota Linares,https://www.themoviedb.org/movie/800407-las-ninas-de-cristal
118,Metal Lords (2022),68.0,"Comedy,Drama,Music",04/08/2022,              1h 37m          ,Peter Sollett,https://www.themoviedb.org/movie/739993-metal-lords
119,The Exorcism of God (2022),66.0,Horror,02/10/2022,              1h 38m          ,Alejandro Hidalgo,https://www.themoviedb.org/movie/836225-the-exorcism-of-god
120,Coraline (2009),78.0,"Animation,Family,Fantasy",02/06/2009,              1h 40m          ,Henry Selick,https://www.themoviedb.org/movie/14836-coraline
121,Godzilla vs. Kong (2021),78.0,"Action,Fantasy,Science Fiction",03/24/2021,              1h 53m          ,Adam Wingard,https://www.themoviedb.org/movie/399566-godzilla-vs-kong
122,Dragon Ball Z: Resurrection 'F' (2015),68.0,"Action,Animation,Science Fiction",04/18/2015,              1h 33m          ,Tadayoshi Yamamuro,https://www.themoviedb.org/movie/303857-z-f
123,The Avengers (2012),77.0,"Science Fiction,Action,Adventure",04/27/2012,              2h 23m          ,Joss Whedon,https://www.themoviedb.org/movie/24428-the-avengers
124,Paranormal Activity: Next of Kin (2021),65.0,"Horror,Mystery,Thriller",10/29/2021,              1h 38m          ,William Eubank,https://www.themoviedb.org/movie/609972-paranormal-activity-next-of-kin
125,Brazen (2022),49.0,"Thriller,Mystery,Drama",01/13/2022,              1h 34m          ,Monika Mitchell,https://www.themoviedb.org/movie/916740-brazen
126,The Medium (2021),71.0,"Horror,Thriller",10/28/2021,              2h 11m          ,Banjong Pisanthanakun,https://www.themoviedb.org/movie/745881
127,Miraculous World: Shanghai – The Legend of Ladydragon (2021),79.0,"Animation,Comedy,Family,Adventure",05/15/2021,              52m          ,Thomas Astruc,https://www.themoviedb.org/movie/726684-miraculous-world-shanghai-la-legende-de-ladydragon
128,Doctor Strange (2007),69.0,"Action,Animation,Fantasy,Science Fiction",08/14/2007,              1h 16m          ,"Patrick Archibald , Dick Sebast , Jay Oliva",https://www.themoviedb.org/movie/14830-doctor-strange
