,Movie name,Overview,Release_date,Rating,Genres,Runtime,Director,Language,Certification,Budget,Revenue,Url
1812,Scott Pilgrim vs. the World (2010),"As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",08/25/2010,75.0,"Action,Comedy,Fantasy,Romance", 1h 52m,Edgar Wright,English,PG-13,"$85,000,000.00","$48,000,000.00",https://www.themoviedb.org/movie/22538-scott-pilgrim-vs-the-world
1813,The Fifth Element (1997),"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",08/19/1997,75.0,"Adventure,Fantasy,Action,Thriller,Science Fiction"," 2h 6m
",Luc Besson,English,PG-13,"$90,000,000.00","$263,920,180.00",https://www.themoviedb.org/movie/18-the-fifth-element
1814,Hostel (2006),"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them.",01/06/2006,59.0,Horror, 1h 34m,Eli Roth,English,R,"$4,800,000.00","$81,979,826.00",https://www.themoviedb.org/movie/1690-hostel
1815,Sky High (2005),"Set in a world where superheroes are commonly known and accepted, young Will Stronghold, the son of the Commander and Jetstream, tries to find a balance between being a normal teenager and an extraordinary being.",07/29/2005,62.0,"Adventure,Comedy,Family", 1h 40m,Mike Mitchell,English,PG,"$35,000,000.00","$86,369,815.00",https://www.themoviedb.org/movie/11459-sky-high
1816,300 (2007),"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",03/16/2007,72.0,"Action,Adventure,War", 1h 57m,Zack Snyder,English,R,"$65,000,000.00","$422,610,419.00",https://www.themoviedb.org/movie/1271-300
1817,Bad Boys (1995),"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.",04/07/1995,68.0,"Action,Comedy,Crime,Thriller", 1h 59m,Michael Bay,English,R,"$19,000,000.00","$141,407,024.00",https://www.themoviedb.org/movie/9737-bad-boys
1818,Xtreme (2021),"Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",06/04/2021,66.0,"Action,Adventure,Crime", 1h 51m,Daniel Benmayor,Castilian,NR,-,-,https://www.themoviedb.org/movie/726429-xtremo
1819,Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari (2016),First of three compilation films of Kuroko no Basket.,09/03/2016,68.0,Animation, 1h 30m,Shunsuke Tada,Japanese,Not mentioned,-,-,https://www.themoviedb.org/movie/401043
1820,Pan's Labyrinth (2006),"Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.",10/20/2006,77.0,"Fantasy,Drama,War", 1h 58m,Guillermo del Toro,Castilian,R,"$19,000,000.00","$83,258,226.00",https://www.themoviedb.org/movie/1417-el-laberinto-del-fauno
1821,Secret Window (2004),"Mort Rainey, a writer just emerging from a painful divorce with his ex-wife, is stalked at his remote lake house by a psychotic stranger and would-be scribe who claims Rainey swiped his best story idea. But as Rainey endeavors to prove his innocence, he begins to question his own sanity.",04/23/2004,66.0,"Mystery,Thriller", 1h 36m,David Koepp,English,PG-13,"$40,000,000.00","$92,913,171.00",https://www.themoviedb.org/movie/1586-secret-window
1822,Reservoir Dogs (1992),"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",09/02/1992,81.0,"Crime,Thriller", 1h 39m,Quentin Tarantino,English,UA,"$1,200,000.00","$2,859,750.00",https://www.themoviedb.org/movie/500-reservoir-dogs
1823,Here Today (2021),"Veteran comedy writer Charlie Berns, who is slowly but surely losing his grip on reality, befriends a talented young New York street singer Emma Payge. Together, they form an unlikely yet hilarious and touching friendship that kicks the generation gap aside and redefines the meaning of love and trust.",05/07/2021,73.0,"Comedy,Drama", 1h 57m,Billy Crystal,English,PG-13,-,-,https://www.themoviedb.org/movie/711475-here-today
1824,Tinker Bell and the Great Fairy Rescue (2010),"During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.",09/21/2010,66.0,"Animation,Adventure,Family,Fantasy", 1h 16m,Bradley Raymond,English,G,-,-,https://www.themoviedb.org/movie/44683-tinker-bell-and-the-great-fairy-rescue
1825,Death of Me (2020),"A couple on holiday on a remote South Pacific island awaken one morning with a hang over and no recollection of what transpired. When playing back a video of the previous night, they see they participated in a local ritual that somehow ends with him murdering her.",11/29/2020,50.0,"Horror,Mystery", 1h 35m,Darren Lynn Bousman,English,R,-,"$41,848.00",https://www.themoviedb.org/movie/595149-death-of-me
1826,"Paul, Apostle of Christ (2018)","Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.",03/28/2018,74.0,"Drama,History", 1h 48m,Andrew Hyatt,English,PG-13,"$5,000,000.00","$22,525,668.00",https://www.themoviedb.org/movie/476968-paul-apostle-of-christ
1827,Garo: Divine Flame (2016),"Leon, who has succeeded the name of Golden Knight ""GARO,"" devotes himself to train a young Makai Knight for the next generation, together with Prince Alfonso of the Valiante Kingdom. Then, they receive an order to exterminate the most beautiful Horror in the world which resides in a neighboring country ""Vazelia."" At the same time, a young Makai Knight for the next generation is kidnapped by an unknown person. Leon desperately follows them, only to find that he is surrounded by his enemies at a dead end. Then, a Makai Knight Dario who was supposed to be missing for some time suddenly appears and rescues him. Under his guidance, Leon is led to the town where he meets up a totally unexpected person.",04/01/2016,53.0,"Action,Animation", 1h 18m,Yuichiro Hayashi,Japanese,Not mentioned,-,-,https://www.themoviedb.org/movie/374195-garo-divine-flame
1828,11M (2022),"Survivors and insiders recount March 11, 2004's terrorist attack on Madrid, including the political crisis it ignited and the hunt for the perpetrators.",02/23/2022,61.0,Documentary, 1h 32m,José Gómez,Castilian,NC16,-,-,https://www.themoviedb.org/movie/940332-11m
1829,The Autopsy of Jane Doe (2016),"Father and son coroners receive a mysterious unidentified corpse with no apparent cause of death. As they attempt to examine the ""Jane Doe,"" they discover increasingly bizarre clues that hold the key to her terrifying secrets.",01/13/2017,67.0,"Horror,Mystery", 1h 26m,André Øvredal,English,R,-,"$5,972,942.00",https://www.themoviedb.org/movie/397243-the-autopsy-of-jane-doe
1830,Beyond the Boundary: I'll Be Here – Past (2015),"It all began quite suddenly. Akihito, who appears human but is actually half yomu with the power to quickly heal himself, sees a freshman girl who appears ready to jump from the school rooftop. The girl, Mirai, who has the ability to manipulate blood, which is unique even among members of the spirit world, continues to fight her isolation. Akihito decides at that moment to save Mirai, but disturbing events soon begin to unfold.",03/15/2015,69.0,"Animation,Fantasy,Action,Drama,Comedy", 1h 22m,Taichi Ishidate,Japanese,Not mentioned,-,-,https://www.themoviedb.org/movie/311056-i-ll-be-here
1831,Berserk: The Golden Age Arc III - The Advent (2013),"A year has passed since Guts parted ways with the Band of the Hawks. Meanwhile, his former mercenary group is plotting a rescue mission to save an imprisoned Griffith.",02/01/2013,76.0,"Action,Adventure,Drama,Fantasy,Animation", 1h 50m,Toshiyuki Kubooka,Japanese,NC-17,-,-,https://www.themoviedb.org/movie/144288-iii
1832,Black as Night (2021),"A teenage girl with self-esteem issues finds confidence in the most unlikely way, by spending her summer battling vampires that prey on New Orleans' disenfranchised with the help of her best friend, the boy she's always pined for, and a peculiar rich girl.",10/01/2021,54.0,"Horror,Thriller", 1h 27m,Maritte Lee Go,English,16,-,-,https://www.themoviedb.org/movie/767504-black-as-night
1833,The Matrix Reloaded (2003),"Six months after the events depicted in The Matrix, Neo has proved to be a good omen for the free humans, as more and more humans are being freed from the matrix and brought to Zion, the one and only stronghold of the Resistance.  Neo himself has discovered his superpowers including super speed, ability to see the codes of the things inside the matrix and a certain degree of pre-cognition. But a nasty piece of news hits the human resistance: 250,000 machine sentinels are digging to Zion and would reach them in 72 hours. As Zion prepares for the ultimate war, Neo, Morpheus and Trinity are advised by the Oracle to find the Keymaker who would help them reach the Source.  Meanwhile Neo's recurrent dreams depicting Trinity's death have got him worried and as if it was not enough, Agent Smith has somehow escaped deletion, has become more powerful than before and has fixed Neo as his next target.",05/15/2003,70.0,"Adventure,Action,Thriller,Science Fiction", 2h 18m,"Lana Wachowski , Lilly Wachowski",English,R,"$150,000,000.00","$738,599,701.00",https://www.themoviedb.org/movie/604-the-matrix-reloaded
1834,JJ+E (2021),"Elisabeth and John-John live in the same city, but they inhabit different worlds.",09/08/2021,54.0,"Romance,Drama", 1h 30m,Alexis Almström,Swedish,16,-,-,https://www.themoviedb.org/movie/726916-vinterviken
